순위,선수명,팀명,POS,G,GS,IP,E,PKO,PO,A,DP,FPCT,PB,SB,CS,CS%
50,김성훈,삼성,2루수,53,22,240 1/3,3,0,58,57,16,0.975,0,0,0,-
53,이상호,NC,2루수,49,26,253 1/3,2,0,66,68,22,0.985,0,0,0,-
53,윤진호,LG,3루수,49,1,101 2/3,1,0,7,22,1,0.967,0,0,0,-
55,이대호,롯데,1루수,48,46,368,3,0,339,35,39,0.992,0,0,0,-
55,모창민,NC,3루수,48,44,346 1/3,7,0,31,64,6,0.931,0,0,0,-
55,김성현,SK,유격수,48,45,355,9,0,51,112,27,0.948,0,0,0,-
58,김찬형,NC,유격수,47,30,269,5,0,41,81,21,0.961,0,0,0,-
58,송성문,넥센,2루수,47,33,288,2,0,68,110,29,0.989,0,0,0,-
60,김성훈,삼성,유격수,46,17,225 1/3,1,0,42,71,19,0.991,0,0,0,-
61,오태곤,KT,1루수,42,20,222,1,0,221,18,24,0.996,0,0,0,-
62,오선진,한화,3루수,41,27,248,4,0,17,42,6,0.937,0,0,0,-
63,정성훈,KIA,1루수,40,24,213,3,0,174,14,16,0.984,0,0,0,-
63,최원준,KIA,3루수,40,17,177 2/3,8,0,18,44,3,0.886,0,0,0,-
63,김혜성,넥센,유격수,40,20,204 1/3,4,0,37,66,14,0.963,0,0,0,-
66,정근우,한화,2루수,39,38,303,9,0,72,94,27,0.949,0,0,0,-
67,박성한,SK,유격수,37,13,156 2/3,6,0,26,57,11,0.933,0,0,0,-
67,박승욱,SK,유격수,37,16,172 1/3,2,0,30,54,14,0.977,0,0,0,-
69,홍재호,KIA,2루수,36,16,161 1/3,3,0,26,42,8,0.958,0,0,0,-
70,최원준,KIA,유격수,35,24,205,3,0,43,55,20,0.970,0,0,0,-
70,황윤호,KIA,유격수,35,5,101 2/3,1,0,19,38,13,0.983,0,0,0,-
70,정훈,롯데,1루수,35,15,165 1/3,1,0,154,4,13,0.994,0,0,0,-
70,지석훈,NC,유격수,35,16,142 2/3,2,0,24,48,15,0.973,0,0,0,-
74,모창민,NC,1루수,34,26,219 2/3,2,0,195,16,22,0.991,0,0,0,-
75,가르시아,LG,3루수,33,32,273 1/3,9,0,21,46,12,0.882,0,0,0,-
75,윤진호,LG,2루수,33,1,89,0,0,23,27,4,1.000,0,0,0,-
75,정근우,한화,1루수,33,33,262,2,0,238,22,32,0.992,0,0,0,-
78,나주환,SK,3루수,32,13,131 1/3,1,0,11,28,2,0.975,0,0,0,-
79,류승현,KIA,3루수,31,19,156 2/3,4,0,11,34,4,0.918,0,0,0,-
79,김회성,한화,3루수,31,15,153 2/3,0,0,13,30,3,1.000,0,0,0,-
